,seeker_post,response_post
0,"HI (coach name). Sorry for not answering sooner. Seems to time files (1.1) and I get nothing done (1.2) and every day seems to have less and less energy to do anything. Its been 3 days raining and I have had very little sleep because of my daughter bloods are very unsuitable at night time. Can't walk anymore that much, seems its pulling my belly muscles and it's really hurts (dr said its attached to the front wall) a quess that's why the pain and I feel already so big (emojis). I'm trying to eat lots of fruits. Not being healthy as I wish cos 5 days a week I'm to one who is cooking and looking after the house (husband does 12h shifts 5-6days a week). I'm just wrecked and if I feel so I have a cookie or chocolate or 2-4... hopefully wheater improves and so my energy levels and being a bit more healthier then atm. And no I didn't do the snacks. I cook every day 3 meals for fam of 5 and atm I do not have that energy to do extra at any level. Sorry. Thank you for your messages and talk to you soon (participant name)","Hi (participant name), thank you so much for your honest message. First of all, please don’t apologize—you’re juggling so much right now, and it’s completely understandable to feel overwhelmed and exhausted. Lack of sleep, the weather, and the extra demands at home can really take a toll on your energy and motivation.

It sounds like you’re doing your absolute best under very challenging circumstances, and I want to acknowledge how much you’re already managing for your family. It’s okay if things aren’t perfect right now—sometimes just getting through the day is enough.

If you’re feeling pain when walking, please continue to listen to your body and take it easy. Your health and your daughter’s are the top priorities. If you need to rest, that’s absolutely valid.

As for meals and snacks, it’s completely fine to keep things simple. If you’re able to add in some fruit or something easy, that’s great, but please don’t put extra pressure on yourself to do more than you can right now. Small steps are still progress.

If you ever want to talk or need support, I’m here for you. Take care of yourself as best you can, and remember that this tough period will pass. Sending you lots of strength and hoping you get some rest soon.

Talk soon,  
(coach name)"
1,"The next two weeks are extremely busy in work with the last two teaching weeks of term. It should hopefully be less hectic once it gets to corrections. Life is very busy and stressful at the moment, so I am only focusing on making sure I get the supplements every day and trying not to eat too much chocolate for the next two weeks. I've been trying to add some fruit, but I'm still eating loads of veggies, so I'm not overly stressing about that one. I know exercise helps with all this, but I don't have the time or headspace to fit it in at the moment, especially not something new. I will look at the stretches and set a new goal once I have survived this fortnight!","It sounds like you have a lot on your plate right now, and it’s completely understandable to focus on just the essentials when things get hectic. You’re doing a great job by keeping up with your supplements and veggies, and being mindful about the chocolate—sometimes just maintaining the basics is a big win during busy times! 

Don’t worry about not fitting in new exercise routines; sometimes just getting through the day is enough. When things settle down after these two weeks, you can reassess and set new goals at your own pace. Be kind to yourself and remember that this busy period won’t last forever. You’ve got this!"
2,"Hi (coach name), Thanks for your videos, only seeing the last 2 now. Yes all is fine with the goals. However you are right, logging them and engaging in app is not top priority at the moment. I am happy with the goals I've set, breakfast, water and walking is being achieved at my pace. I am motivated to do as much as I can regarding healthy choices but also listening to my body when I need rest and a cup of tea. Nausea and sickness has lessened in the last 2 weeks so that has enabled me to eat more consciously and get back to some healthy breakfasts (like yoghurt, fruit and seeds etc). Walking in the evening is still sporadic but I am enjoying it and have engaged in a 100k in 30 days for charity with work. Again I am doing this when I feel I can and at my own pace. I am happy with my diet and behaviour right now and cravings are not an issue actually. I find my blood sugar to be stable too. Unfortunately I cannot promise more engagement with App, I will log when I think of it. Hope thats okay (emojis) thanks again, (participant name)","Hi (participant name), thank you so much for your thoughtful update! I’m really glad to hear that you’re feeling better and that the nausea has eased up—that makes such a difference. It’s fantastic that you’re tuning in to your body’s needs and finding a balance between healthy choices and rest. Your approach to walking and participating in the 100k challenge at your own pace is exactly the right mindset—consistency and enjoyment matter more than perfection.

No worries at all about the app engagement; your wellbeing comes first, and it’s great to hear you’re happy with your progress and routines. Logging is just a tool to support you, not something to add pressure. If you ever want to check in or have questions, I’m here for you, but please continue to do what feels right for you.

Keep up the great work, and enjoy those cups of tea! 😊  
Best,  
(coach name)"
3,"Hi (coach name). I'm doing ok so far, did great step account on last month but just after I hit my 20week/5mnt mark. I feel extremely tired and struggling to get 10 thousand step per day and partly I feel worn out and a bit if pain cos womb is attached on the front of the belly wall and I have constant 'pulling/stretching' pain. Less bread of course is still my coal l close list... or now might I need to munch less cookies. Its raining way too much for my liking and not having no energy lately will I say effect my treats snacking and mood lifting with food. I'll keep my goals atm the same just not to push my self more for something I can't accomplish and not having then self let down moments (participant name)","Hi (participant name), thank you so much for sharing how you’re feeling and for being so honest about where you’re at right now. First of all, congratulations on hitting your 20-week/5-month mark and for doing so well with your step goal last month—that’s a huge achievement!

It’s completely understandable to feel more tired and experience some discomfort as your pregnancy progresses, especially with the womb attached to the front of the belly wall. That pulling and stretching pain is common, but it can definitely make movement and daily activities more challenging. Please remember to listen to your body and rest when you need to—your health and your baby’s health come first.

It’s also great that you’re aware of your eating habits and how your mood and the weather can affect your choices. Rainy days and low energy can make it so tempting to reach for comfort foods, and that’s okay sometimes. Try to be gentle with yourself and focus on small, manageable changes rather than perfection. Maybe you could swap out some cookies for a fruit or yogurt snack, or just be mindful of portion sizes, but don’t feel guilty if you need a treat now and then.

Keeping your goals the same for now is a wise decision. It’s important to avoid putting extra pressure on yourself, especially when your body is working so hard. Progress isn’t always linear, and taking care of your mental and emotional well-being is just as important as physical goals.

If you ever want to talk through some gentle movement options or need ideas for mood-boosting activities that don’t involve food, I’m here for you. You’re doing an amazing job, and it’s okay to have ups and downs. Please keep me posted on how you’re feeling, and let me know if there’s anything specific you’d like support with.

Take care and be kind to yourself,
(coach name)"
4,"Hi (coach name), I did a recording but I am not too sure where it saved so I stick with writing a little paragraph. Last week was a great week for exercise. I reached my 7 hrs a week exercise by doing my hour walk Monday to Friday and I started my exercise bike Friday and do that for 20 mins in the morning. Last Thursday I became really fizzy whilst on my walk and sweating. A weird sensation that came over me for about 10 mins. Perhaps my stomach was empty or was just over tired. My diet has not been great, although I've been drinking my water, food intake and treats have been a weakness, especially over the bank holiday weekend being out for picnics and a birthday party. The tips on physical activity is good. I actually do a good bit of gardening and cleaning so I should incorporate that into my exercise. I literally do not stop at home from 6.30 am intill 7pm. Kids are quite demanding (emoji)","Hi! Thank you so much for your update and for sharing how your week went. It sounds like you’ve done an amazing job staying active, especially with your walks and starting the exercise bike—well done on reaching your 7 hours! That’s a fantastic achievement, especially with such a busy schedule.

About the fizzy sensation and sweating during your walk, you’re right that it could be related to not having eaten enough beforehand or maybe feeling a bit overtired. It’s always a good idea to have a small snack before longer walks, especially if you haven’t eaten in a while, and to listen to your body if you need to slow down or take a break.

Don’t be too hard on yourself about your diet—special occasions and busy weekends happen! The important thing is that you’re aware and ready to get back on track. Drinking water and being mindful is already a great step.

It’s also fantastic that you’re recognizing all the activity you do at home—gardening, cleaning, and running after the kids absolutely count as physical activity! You’re moving a lot more than you might realize, and it all adds up.

Keep up the great work, and remember to take care of yourself too. If you ever want to try recording again, let me know and I can help you find where it saves. Otherwise, your written updates are perfect!

You’re doing brilliantly—keep going! 😊"
5,"Hello (coach name) good morning. My week was great, tnks God (emojis) the only problem was that I got so angry with my husband during the week. Is it normal to get so angry during pregnancy? I hope you had a good week too. Thank you very much for the link, I gonna try to make something (emoji) and to contact the clinic. I have to take a vaccine on Wednesday and I can ask to my GP if he got my results. For any reason I ate much better during last week. I'll start to write down my all of my food, as you said. I think is going to be much better to understand what's happening.","Hello! Thank you so much for your message and for sharing how your week went. First of all, it’s completely normal to experience stronger emotions, including anger, during pregnancy. Hormonal changes, physical discomfort, and the stress of preparing for a new baby can all make emotions feel more intense. You’re definitely not alone in this!

It’s great to hear that you’re planning to track your food—writing things down can really help you notice patterns and make positive changes. I’m glad you’re reaching out to your GP about your results and taking care of your health with the vaccine.

If you ever want to talk more about how you’re feeling or need tips for managing stress and emotions, I’m here for you. You’re doing a wonderful job taking care of yourself and your baby. Have a lovely week, and let me know how everything goes! 😊"
6,"Hi (coach name), I was having a rough week last week. Busy with work and also I was unwell some days. I feel better now. And I will continue updating my daily goals. Thanks for the support. I don't us my mobile phone regularly. I am not familiar with apps and all. I have to depend on my husband for technical things. That's why I am not up to date. And moreover my smart phone is an old one. That's why I can't show the steps in the mobile. Thank you (participant name)","Hi (participant name), thank you so much for your honest update. I’m really glad to hear you’re feeling better now! It’s completely understandable that a busy week and feeling unwell can make it hard to keep up with everything. Please don’t worry about the technical side or using the app perfectly—what matters most is your effort and commitment to your goals.

If you ever need help with anything, feel free to let me know, and I’ll do my best to support you in a way that works for you. You’re doing great by staying in touch and updating your goals. Keep going at your own pace, and remember, I’m here for you every step of the way!

Take care and wishing you a wonderful week ahead,
(coach name)"
7,"Hi (coach name) Thank you! Yes baby boy born Wednesday, a lovely calm elective section and only 31 hours in hospital after. I am useless, sorry missed all of these messages and most from family and friends (emojis). Definitely did too much at once with a pretty non flexible deadline! Realised as well I never did a final weigh in before c section! Never managed to start up yoga or other exercise beyond daily life needs but as soon as I am fit and able I must start some activities again. Will book in for a video chat in January. Thank you for not giving up on me! Newborn life is just as I remember it but I seem to be more used to sleep deprivation so I will need to look at some of those mindfulness techniques you sent. Breastfeeding mega demanding and sore but I know will be best in the long run (just need to remember to put the vit d drops on before we start (emojis)). Whole house is very excited for Christmas, (name) is especially keen but I love it because it keeps me going. Hope you're well and looking forward to Christmas with the family (participant name) x","Hi (participant name), 

Congratulations again on your beautiful baby boy! It’s wonderful to hear that everything went smoothly with the section and that you’re all home and settling in. Please don’t worry for a second about missing messages—this is such a huge transition, and you’re doing exactly what you need to do right now. 

It sounds like you’re already doing an amazing job juggling everything, even if it doesn’t always feel that way. The final weigh-in and yoga can absolutely wait; your focus on healing and caring for your little one is what matters most. When you’re ready, we’ll ease back into things together—no rush at all.

I’m so glad the mindfulness techniques might be helpful. Even a few deep breaths or a quiet moment can make a difference, especially during those long nights. Breastfeeding can be tough at first, but you’re right—it does get easier, and you’re doing brilliantly. Don’t hesitate to reach out if you need any support or just want to chat.

It sounds like Christmas will be extra special this year with your new arrival and (name)’s excitement! I hope you get to soak up all the magic and enjoy some well-deserved rest when you can.

Take care of yourself, and I’ll look forward to catching up in January. I’m always here if you need anything in the meantime.

Wishing you and your family a wonderful Christmas,
(coach name) x"
8,"Hi (coach name), I’m doing ok thanks just really bad on keeping you updated on here. I’m really sorry. I was wondering going forwards if we could do quick 5-10 mins call update. Is this something you can do? I’m just very bad at assigning time to sit down and write as always get distracted and put it off to later. No worries if this is not possible. The PGP has actually calmed down which is great and have been able to go out for walks again and generally just move about a bit more. The midwife has referred me for some physio so waiting for an appointment to come through. I’m also told they might give me belt to wear which will help. I have noticed this week (probably because of the heat) that my fingers / hands & feet are quite swollen. My water intake has dropped so have put a reminder in my work calendar to alert me. Food wise, my portion size is still on the large size. Don’t know how to manage this. Hope to speak to you soon Thanks (participant name)","Hi (participant name), thank you so much for your update and for being honest about what works best for you! No need to apologize at all—finding a way to check in that fits your routine is really important, and I’m happy to accommodate a quick 5-10 minute call for updates. Let’s find a time that works for both of us and get that set up going forward.

I’m really glad to hear your PGP has calmed down and that you’re able to get out for walks again—that’s fantastic progress! Fingers crossed the physio appointment comes through soon, and the belt can definitely be helpful for extra support.

Swelling in your hands and feet can be quite common, especially in the heat, but it’s great that you’re being proactive with your water intake. Setting reminders is a smart move. If the swelling gets worse or you notice any other symptoms (like headaches or vision changes), do let your midwife know just to be safe.

Regarding portion sizes, this is something we can definitely talk through on our call. In the meantime, a couple of quick tips: try using a smaller plate or bowl, and take a pause halfway through your meal to check in with your hunger levels. Sometimes just slowing down a little can help you notice when you’re comfortably full.

Let me know your availability for a call, and we’ll get something in the diary. Looking forward to catching up soon!

Best,  
(coach name)"
9,"Hi (coach name), Thanks for your advice about proteins, I’ve added it to my goals. Unfortunately, I’ve been extremely unwell the last 2 weeks which included me collapsing and having a lovely trip to hospital in an ambulance. My body is fighting a viral infection and shut down. I hit my head and have a lovely black eye. Due to this my goals and everything have taken a backseat. I’ve been advised to sit down as much as possible with my feet up. I’m struggling with controlling my body temp so am constantly hot which is making things worse! I went back to work Thursday and managed ok. The baby is causing me to have my first cravings - wholegrain cheerios! I’ve just booked in my c section in 5 weeks! Any advice on how to prepare would be great. I’ve been signposted to Bluebell to support with my mental health although feeling ok at the moment. I am starting maternity leave in 2 weeks so will have a lot more time for me (for a few weeks lol!) Sorry for the long message! (participant name)","Hi (participant name), 

Thank you so much for your update, and please don’t apologize for the long message—it’s really helpful to hear how you’re doing. I’m so sorry to hear about your recent illness and hospital trip; that sounds incredibly tough, and I hope you’re starting to feel a little better each day. It’s completely understandable that your goals have taken a backseat—your health and recovery are the absolute priority right now.

It’s great to hear you managed to get back to work, even if just for a bit, and that you’re listening to your body’s needs. Sitting with your feet up and taking things slowly is exactly what you should be doing. Cravings are totally normal, and wholegrain Cheerios are a pretty good choice—easy on the stomach and a bit of fiber, too!

With your c-section coming up in 5 weeks, it’s a good time to start thinking about preparing both physically and mentally. Here are a few tips:
- **Rest as much as possible**—your body is already working hard, and recovery from illness plus pregnancy is a lot.
- **Stay hydrated** and eat small, frequent meals if your appetite is off.
- **Prepare your home** for your return after the c-section: set up a comfortable recovery space, stock up on easy meals/snacks, and make sure you have everything you’ll need within reach.
- **Ask for help**—don’t hesitate to lean on friends, family, or your support network, especially in those first few weeks.
- **Gentle movement** (as you feel able and your doctor approves) like short walks around the house can help with circulation and mood.
- **Mental health**: It’s great you’ve been signposted to Bluebell, and even if you’re feeling okay now, it’s good to have that support in place just in case.

Starting maternity leave soon will hopefully give you a bit more breathing space to rest and focus on yourself before baby arrives. If you need any more advice or just want to chat, I’m here for you. Please keep prioritizing your health and take things one day at a time.

Wishing you a smooth recovery and a restful few weeks ahead!

Take care,  
(coach name)"
